engine,model,variant,iter,startup_s
rust,Qwen2.5-14B-Instruct,warm,4,7.9836
rust,Qwen2.5-14B-Instruct,warm,5,8.1488
rust,Qwen2.5-14B-Instruct,warm,6,8.0390
rust,Qwen2.5-14B-Instruct,warm,7,7.9982
rust,Qwen2.5-14B-Instruct,warm,8,7.9910
rust,Qwen2.5-14B-Instruct,warm,9,8.0278
rust,Qwen2.5-14B-Instruct,warm,10,8.1547
rust,Qwen2.5-14B-Instruct,warm,11,8.3047
rust,Qwen2.5-14B-Instruct,warm,12,8.0452
rust,Qwen2.5-14B-Instruct,warm,13,7.9912
rust,Qwen2.5-14B-Instruct,warm,14,7.9428
rust,Qwen2.5-14B-Instruct,warm,15,8.1321
rust,Qwen2.5-14B-Instruct,warm,16,8.0866
rust,Qwen2.5-14B-Instruct,warm,17,8.2442
rust,Qwen2.5-14B-Instruct,warm,18,8.0386
rust,Qwen2.5-14B-Instruct,warm,19,8.0437
rust,Qwen2.5-14B-Instruct,warm,20,8.5397
rust,Qwen2.5-14B-Instruct,warm,21,8.5197
rust,Qwen2.5-14B-Instruct,warm,22,8.0373
rust,Qwen2.5-14B-Instruct,warm,23,8.3131
rust,Qwen2.5-14B-Instruct,warm,24,7.9311
rust,Qwen2.5-14B-Instruct,warm,25,7.9458
rust,Qwen2.5-14B-Instruct,warm,26,8.0395
rust,Qwen2.5-14B-Instruct,warm,27,7.9408
rust,Qwen2.5-14B-Instruct,warm,28,8.0487
rust,Qwen2.5-14B-Instruct,warm,29,8.8429
rust,Qwen2.5-14B-Instruct,warm,30,8.2964
rust,Qwen2.5-14B-Instruct,warm,31,7.9364
rust,Qwen2.5-14B-Instruct,warm,32,7.9381
rust,Qwen2.5-14B-Instruct,warm,33,7.9832
rust,Qwen2.5-14B-Instruct,warm,34,8.1011
rust,Qwen2.5-14B-Instruct,warm,35,8.0323
rust,Qwen2.5-14B-Instruct,warm,36,7.9579
rust,Qwen2.5-14B-Instruct,warm,37,7.9714
rust,Qwen2.5-14B-Instruct,warm,38,8.0904
rust,Qwen2.5-14B-Instruct,warm,39,8.1041
rust,Qwen2.5-14B-Instruct,warm,40,8.3170
rust,Qwen2.5-14B-Instruct,warm,41,8.0843
rust,Qwen2.5-14B-Instruct,warm,42,7.9915
rust,Qwen2.5-14B-Instruct,warm,43,8.0434
rust,Qwen2.5-14B-Instruct,warm,44,8.1462
rust,Qwen2.5-14B-Instruct,warm,45,8.5312
rust,Qwen2.5-14B-Instruct,warm,46,8.6773
rust,Qwen2.5-14B-Instruct,warm,47,7.9947
rust,Qwen2.5-14B-Instruct,warm,48,8.0495
rust,Qwen2.5-14B-Instruct,warm,49,7.9913
rust,Qwen2.5-14B-Instruct,warm,50,7.9948
rust,Qwen2.5-14B-Instruct,warm,51,8.0414
rust,Qwen2.5-14B-Instruct,warm,52,8.2465
rust,Qwen2.5-14B-Instruct,warm,53,7.9194
rust,Qwen2.5-14B-Instruct,warm,54,7.9001
rust,Qwen2.5-14B-Instruct,warm,55,8.0033
rust,Qwen2.5-14B-Instruct,warm,56,8.0991
rust,Qwen2.5-14B-Instruct,warm,57,8.0364
rust,Qwen2.5-14B-Instruct,warm,58,8.2560
rust,Qwen2.5-14B-Instruct,warm,59,7.9888
rust,Qwen2.5-14B-Instruct,warm,60,8.0503
rust,Qwen2.5-14B-Instruct,warm,61,7.9413
rust,Qwen2.5-14B-Instruct,warm,62,8.0933
rust,Qwen2.5-14B-Instruct,warm,63,7.9958
rust,Qwen2.5-14B-Instruct,warm,64,7.9301
rust,Qwen2.5-14B-Instruct,warm,65,8.2661
rust,Qwen2.5-14B-Instruct,warm,66,7.9970
rust,Qwen2.5-14B-Instruct,warm,67,7.9897
rust,Qwen2.5-14B-Instruct,warm,68,8.1421
rust,Qwen2.5-14B-Instruct,warm,69,8.3657
rust,Qwen2.5-14B-Instruct,warm,70,8.0791
rust,Qwen2.5-14B-Instruct,warm,71,7.9452
rust,Qwen2.5-14B-Instruct,warm,72,7.9841
rust,Qwen2.5-14B-Instruct,warm,73,7.9889
rust,Qwen2.5-14B-Instruct,warm,74,7.9869
rust,Qwen2.5-14B-Instruct,warm,75,8.2925
rust,Qwen2.5-14B-Instruct,warm,76,7.8892
rust,Qwen2.5-14B-Instruct,warm,77,7.9821
rust,Qwen2.5-14B-Instruct,warm,78,7.9267
rust,Qwen2.5-14B-Instruct,warm,79,8.0577
rust,Qwen2.5-14B-Instruct,warm,80,8.1020
rust,Qwen2.5-14B-Instruct,warm,81,8.1980
rust,Qwen2.5-14B-Instruct,warm,82,8.5560
rust,Qwen2.5-14B-Instruct,warm,83,8.4138
rust,Qwen2.5-14B-Instruct,warm,84,7.9945
rust,Qwen2.5-14B-Instruct,warm,85,8.0449
rust,Qwen2.5-14B-Instruct,warm,86,7.8897
rust,Qwen2.5-14B-Instruct,warm,87,8.2907
rust,Qwen2.5-14B-Instruct,warm,88,7.9913
rust,Qwen2.5-14B-Instruct,warm,89,8.1457
rust,Qwen2.5-14B-Instruct,warm,90,8.5875
rust,Qwen2.5-14B-Instruct,warm,91,8.2622
rust,Qwen2.5-14B-Instruct,warm,92,7.9870
rust,Qwen2.5-14B-Instruct,warm,93,7.9306
rust,Qwen2.5-14B-Instruct,warm,94,8.1350
rust,Qwen2.5-14B-Instruct,warm,95,7.9816
rust,Qwen2.5-14B-Instruct,warm,96,7.9978
rust,Qwen2.5-14B-Instruct,warm,97,8.0820
rust,Qwen2.5-14B-Instruct,warm,98,7.9971
rust,Qwen2.5-14B-Instruct,warm,99,8.1396
rust,Qwen2.5-14B-Instruct,warm,100,7.9424
