engine,model,variant,iter,startup_s
python,Qwen2.5-14B-Instruct,warm,1,36.4623
python,Qwen2.5-14B-Instruct,warm,2,35.5639
python,Qwen2.5-14B-Instruct,warm,3,35.6801
python,Qwen2.5-14B-Instruct,warm,4,35.4992
python,Qwen2.5-14B-Instruct,warm,5,35.7591
python,Qwen2.5-14B-Instruct,warm,6,35.9855
python,Qwen2.5-14B-Instruct,warm,7,35.4174
python,Qwen2.5-14B-Instruct,warm,8,35.6516
python,Qwen2.5-14B-Instruct,warm,9,35.7399
python,Qwen2.5-14B-Instruct,warm,10,35.7381
python,Qwen2.5-14B-Instruct,warm,11,35.2456
python,Qwen2.5-14B-Instruct,warm,12,35.4463
python,Qwen2.5-14B-Instruct,warm,13,35.9194
python,Qwen2.5-14B-Instruct,warm,14,35.6412
python,Qwen2.5-14B-Instruct,warm,15,35.0443
python,Qwen2.5-14B-Instruct,warm,16,35.8231
python,Qwen2.5-14B-Instruct,warm,17,35.2548
python,Qwen2.5-14B-Instruct,warm,18,35.7986
python,Qwen2.5-14B-Instruct,warm,19,36.2711
python,Qwen2.5-14B-Instruct,warm,20,36.0999
python,Qwen2.5-14B-Instruct,warm,21,35.7737
python,Qwen2.5-14B-Instruct,warm,22,36.0451
python,Qwen2.5-14B-Instruct,warm,23,35.5024
python,Qwen2.5-14B-Instruct,warm,24,34.9819
python,Qwen2.5-14B-Instruct,warm,25,35.4068
python,Qwen2.5-14B-Instruct,warm,26,35.4816
python,Qwen2.5-14B-Instruct,warm,27,36.0837
python,Qwen2.5-14B-Instruct,warm,28,35.0942
python,Qwen2.5-14B-Instruct,warm,29,35.2159
python,Qwen2.5-14B-Instruct,warm,30,35.6077
python,Qwen2.5-14B-Instruct,warm,31,35.4246
python,Qwen2.5-14B-Instruct,warm,32,35.4535
python,Qwen2.5-14B-Instruct,warm,33,35.3818
python,Qwen2.5-14B-Instruct,warm,34,35.5189
python,Qwen2.5-14B-Instruct,warm,35,35.9500
python,Qwen2.5-14B-Instruct,warm,36,35.3650
python,Qwen2.5-14B-Instruct,warm,37,35.8851
python,Qwen2.5-14B-Instruct,warm,38,36.2599
python,Qwen2.5-14B-Instruct,warm,39,35.3114
python,Qwen2.5-14B-Instruct,warm,40,35.2396
python,Qwen2.5-14B-Instruct,warm,41,35.0501
python,Qwen2.5-14B-Instruct,warm,42,34.9165
python,Qwen2.5-14B-Instruct,warm,43,35.3468
python,Qwen2.5-14B-Instruct,warm,44,34.9527
python,Qwen2.5-14B-Instruct,warm,45,35.2379
python,Qwen2.5-14B-Instruct,warm,46,35.0874
python,Qwen2.5-14B-Instruct,warm,47,34.8454
python,Qwen2.5-14B-Instruct,warm,48,35.1617
python,Qwen2.5-14B-Instruct,warm,49,35.4168
python,Qwen2.5-14B-Instruct,warm,50,34.9433
python,Qwen2.5-14B-Instruct,warm,51,35.2573
python,Qwen2.5-14B-Instruct,warm,52,35.3081
python,Qwen2.5-14B-Instruct,warm,53,35.2667
python,Qwen2.5-14B-Instruct,warm,54,35.0351
python,Qwen2.5-14B-Instruct,warm,55,35.4657
python,Qwen2.5-14B-Instruct,warm,56,35.1485
python,Qwen2.5-14B-Instruct,warm,57,34.8532
python,Qwen2.5-14B-Instruct,warm,58,34.5977
python,Qwen2.5-14B-Instruct,warm,59,34.8774
python,Qwen2.5-14B-Instruct,warm,60,34.7978
python,Qwen2.5-14B-Instruct,warm,61,35.5191
python,Qwen2.5-14B-Instruct,warm,62,35.3216
python,Qwen2.5-14B-Instruct,warm,63,34.8625
python,Qwen2.5-14B-Instruct,warm,64,35.0250
python,Qwen2.5-14B-Instruct,warm,65,34.7578
python,Qwen2.5-14B-Instruct,warm,66,34.9468
python,Qwen2.5-14B-Instruct,warm,67,35.0488
python,Qwen2.5-14B-Instruct,warm,68,35.0457
python,Qwen2.5-14B-Instruct,warm,69,35.8736
python,Qwen2.5-14B-Instruct,warm,70,35.4720
python,Qwen2.5-14B-Instruct,warm,71,35.3865
python,Qwen2.5-14B-Instruct,warm,72,35.0218
python,Qwen2.5-14B-Instruct,warm,73,35.2170
python,Qwen2.5-14B-Instruct,warm,74,35.1226
python,Qwen2.5-14B-Instruct,warm,75,35.1144
python,Qwen2.5-14B-Instruct,warm,76,35.2012
python,Qwen2.5-14B-Instruct,warm,77,35.3142
python,Qwen2.5-14B-Instruct,warm,78,35.1902
python,Qwen2.5-14B-Instruct,warm,79,35.3324
python,Qwen2.5-14B-Instruct,warm,80,34.6217
python,Qwen2.5-14B-Instruct,warm,81,35.1510
python,Qwen2.5-14B-Instruct,warm,82,35.5137
python,Qwen2.5-14B-Instruct,warm,83,35.0260
python,Qwen2.5-14B-Instruct,warm,84,35.2732
python,Qwen2.5-14B-Instruct,warm,85,35.5478
python,Qwen2.5-14B-Instruct,warm,86,35.2544
python,Qwen2.5-14B-Instruct,warm,87,35.5288
python,Qwen2.5-14B-Instruct,warm,88,35.2564
python,Qwen2.5-14B-Instruct,warm,89,35.1569
python,Qwen2.5-14B-Instruct,warm,90,35.7181
python,Qwen2.5-14B-Instruct,warm,91,35.0334
python,Qwen2.5-14B-Instruct,warm,92,35.8045
python,Qwen2.5-14B-Instruct,warm,93,35.4251
python,Qwen2.5-14B-Instruct,warm,94,35.1289
python,Qwen2.5-14B-Instruct,warm,95,35.5529
python,Qwen2.5-14B-Instruct,warm,96,35.3206
python,Qwen2.5-14B-Instruct,warm,97,34.8733
python,Qwen2.5-14B-Instruct,warm,98,34.9921
python,Qwen2.5-14B-Instruct,warm,99,35.1275
python,Qwen2.5-14B-Instruct,warm,100,35.1739
rust,Qwen2.5-14B-Instruct,warm,1,8.3998
rust,Qwen2.5-14B-Instruct,warm,2,7.8941
rust,Qwen2.5-14B-Instruct,warm,3,8.1559
