engine,model,input_len,output_len,duration_s,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms
python,Qwen/Qwen2.5-7B-Instruct,32,128,16.90,29.58,3786.55,4733.19,9793.09,7647.87,12575.24,36.23,36.57,38.07,36.23,34.11,143.58
python,Qwen/Qwen2.5-7B-Instruct,32,256,26.26,19.04,4873.71,5482.92,12070.13,7624.38,17262.34,36.44,36.78,37.21,36.44,35.51,52.04
python,Qwen/Qwen2.5-7B-Instruct,32,512,40.37,12.38,6340.98,6737.29,10599.65,1040.66,21138.63,38.40,38.78,39.02,38.40,37.99,45.19
python,Qwen/Qwen2.5-7B-Instruct,32,1024,89.66,5.58,5710.50,5888.95,22762.19,975.24,46140.47,43.29,43.84,43.91,43.29,42.99,53.63
python,Qwen/Qwen2.5-7B-Instruct,128,128,14.18,35.25,4512.02,9024.04,4980.99,2940.79,9705.16,47.05,50.35,51.06,47.05,36.13,160.89
python,Qwen/Qwen2.5-7B-Instruct,128,256,24.03,20.81,5326.52,7989.78,7361.42,2840.05,14618.04,42.79,44.42,45.01,42.79,37.39,162.00
python,Qwen/Qwen2.5-7B-Instruct,128,512,45.88,10.90,5579.46,6974.32,12794.77,2941.69,25772.05,42.66,43.53,44.08,42.66,39.99,166.97
python,Qwen/Qwen2.5-7B-Instruct,128,1024,97.49,5.13,5251.55,5908.00,25688.28,2972.54,52251.78,46.49,47.09,47.89,46.49,44.94,152.89
python,Qwen/Qwen2.5-7B-Instruct,512,128,31.73,15.76,2017.31,10086.54,13053.77,11356.28,26658.26,96.40,109.23,117.40,96.40,44.21,189.90
python,Qwen/Qwen2.5-7B-Instruct,512,256,43.99,11.37,2909.87,8729.62,16038.33,11150.08,33094.14,72.22,78.19,84.33,72.22,45.02,213.25
python,Qwen/Qwen2.5-7B-Instruct,512,512,71.29,7.01,3590.91,7181.82,22964.84,11265.84,47794.13,62.60,65.32,70.76,62.61,47.65,258.88
python,Qwen/Qwen2.5-7B-Instruct,512,1024,132.77,3.77,3856.36,5784.54,38354.17,11332.39,80287.29,61.19,62.43,67.04,61.19,52.79,300.91
python,Qwen/Qwen2.5-7B-Instruct,1024,128,70.18,7.12,911.90,8207.11,29205.47,27099.99,64882.73,208.18,230.04,276.61,208.19,272.54,281.90
python,Qwen/Qwen2.5-7B-Instruct,1024,256,86.36,5.79,1482.21,7411.06,33027.30,26772.81,73803.39,139.30,150.15,180.64,139.31,55.55,304.09
python,Qwen/Qwen2.5-7B-Instruct,1024,512,119.24,4.19,2146.88,6440.64,41410.67,26938.72,91610.06,101.29,106.62,124.41,101.30,57.98,336.06
python,Qwen/Qwen2.5-7B-Instruct,1024,1024,200.47,2.49,2554.01,5108.01,61737.19,26899.93,133062.94,86.51,88.35,110.52,86.51,63.07,377.49
rust,Qwen/Qwen2.5-7B-Instruct,32,128,9.75,51.31,6567.22,8209.02,2800.49,840.10,5573.71,35.25,36.03,36.57,35.25,32.78,95.72
rust,Qwen/Qwen2.5-7B-Instruct,32,256,18.81,26.58,6805.01,7655.64,5000.84,779.98,10070.23,35.34,35.75,36.08,35.34,34.15,95.38
rust,Qwen/Qwen2.5-7B-Instruct,32,512,38.93,12.84,6575.19,6986.14,9927.90,822.20,20209.57,37.33,37.60,37.71,37.33,36.80,67.23
rust,Qwen/Qwen2.5-7B-Instruct,32,1024,87.20,5.73,5871.42,6054.90,21845.88,833.58,44572.22,42.22,42.60,42.68,42.22,41.96,52.79
rust,Qwen/Qwen2.5-7B-Instruct,128,128,12.47,40.08,5130.79,10261.58,4141.00,2420.02,8171.64,42.05,44.52,45.65,42.05,34.22,98.50
rust,Qwen/Qwen2.5-7B-Instruct,128,256,21.73,23.01,5891.36,8837.04,6390.96,2279.98,12742.13,39.06,40.28,40.61,39.06,35.50,96.26
rust,Qwen/Qwen2.5-7B-Instruct,128,512,42.81,11.68,5980.59,7475.74,11617.64,2493.18,23407.78,40.03,40.78,40.97,40.03,38.33,95.59
rust,Qwen/Qwen2.5-7B-Instruct,128,1024,92.10,5.43,5559.25,6254.15,23699.36,2365.84,48324.39,44.08,44.63,44.76,44.08,43.25,95.41
rust,Qwen/Qwen2.5-7B-Instruct,512,128,17.95,27.86,3565.95,17829.75,7250.96,5811.30,13552.72,53.18,59.07,61.73,53.18,37.31,100.65
rust,Qwen/Qwen2.5-7B-Instruct,512,256,28.48,17.56,4495.05,13485.14,9797.79,6017.39,18950.69,47.14,50.49,51.44,47.14,38.55,101.03
rust,Qwen/Qwen2.5-7B-Instruct,512,512,50.35,9.93,5084.87,10169.73,15069.68,6025.26,29919.27,44.83,46.30,47.01,44.83,40.93,98.48
rust,Qwen/Qwen2.5-7B-Instruct,512,1024,100.61,4.97,5088.71,7633.06,26967.03,5186.13,54931.20,47.23,47.89,48.36,47.23,45.63,100.20
rust,Qwen/Qwen2.5-7B-Instruct,1024,128,21.08,23.71,3035.46,27319.16,9139.18,7770.52,16610.90,58.60,67.01,69.25,58.60,61.01,101.21
rust,Qwen/Qwen2.5-7B-Instruct,1024,256,31.45,15.90,4070.35,20351.76,11343.66,7793.13,21689.63,49.92,53.14,54.74,49.92,40.37,103.01
rust,Qwen/Qwen2.5-7B-Instruct,1024,512,55.31,9.04,4628.17,13884.50,17195.07,8338.37,33935.60,47.96,49.74,50.09,47.96,43.15,103.90
rust,Qwen/Qwen2.5-7B-Instruct,1024,1024,108.07,4.63,4737.72,9475.43,30124.51,7949.14,60200.91,49.79,50.46,51.40,49.79,47.66,105.32
