engine,model,block_size,input_len,output_len,req_per_s,total_tok_per_s,output_tok_per_s
rust,Qwen/Qwen2.5-14B-Instruct,16,1024,1024,0.60,1222.51,611.55
rust,Qwen/Qwen2.5-14B-Instruct,32,32,128,26.72,4275.60,3420.67
rust,Qwen/Qwen2.5-14B-Instruct,32,32,256,10.29,2964.18,2634.89
rust,Qwen/Qwen2.5-14B-Instruct,32,32,512,3.23,1758.58,1655.16
rust,Qwen/Qwen2.5-14B-Instruct,32,32,1024,0.72,758.24,735.27
rust,Qwen/Qwen2.5-14B-Instruct,32,64,128,22.83,4385.11,2923.96
rust,Qwen/Qwen2.5-14B-Instruct,32,64,256,9.06,2899.28,2319.60
rust,Qwen/Qwen2.5-14B-Instruct,32,64,512,2.95,1697.85,1509.23
rust,Qwen/Qwen2.5-14B-Instruct,32,64,1024,0.69,746.10,702.22
rust,Qwen/Qwen2.5-14B-Instruct,32,128,128,16.74,4267.02,2144.97
rust,Qwen/Qwen2.5-14B-Instruct,32,128,256,7.72,2954.96,1976.68
rust,Qwen/Qwen2.5-14B-Instruct,32,128,512,2.41,1542.79,1236.64
rust,Qwen/Qwen2.5-14B-Instruct,32,128,1024,0.67,770.97,686.05
rust,Qwen/Qwen2.5-14B-Instruct,32,256,128,10.77,4130.57,1382.06
rust,Qwen/Qwen2.5-14B-Instruct,32,256,256,5.40,2764.08,1385.17
rust,Qwen/Qwen2.5-14B-Instruct,32,256,512,2.12,1624.82,1084.62
rust,Qwen/Qwen2.5-14B-Instruct,32,256,1024,0.68,866.92,694.05
rust,Qwen/Qwen2.5-14B-Instruct,32,512,128,6.72,4301.33,863.11
rust,Qwen/Qwen2.5-14B-Instruct,32,512,256,3.80,2920.73,974.91
rust,Qwen/Qwen2.5-14B-Instruct,32,512,512,1.74,1779.89,890.38
rust,Qwen/Qwen2.5-14B-Instruct,32,512,1024,0.65,996.29,664.31
rust,Qwen/Qwen2.5-14B-Instruct,32,1024,128,4.52,5214.37,583.39
rust,Qwen/Qwen2.5-14B-Instruct,32,1024,256,2.66,3408.86,683.90
rust,Qwen/Qwen2.5-14B-Instruct,32,1024,512,1.35,2074.89,692.53
rust,Qwen/Qwen2.5-14B-Instruct,32,1024,1024,0.59,1218.00,609.30
